cluster,n_points,bus_stop,bicycle_parking,station,parking,other,diversity_score,dominant_type
197,5,1,3,0,1,0,3,bicycle_parking
198,6,3,3,0,0,0,2,bus_stop
199,7,7,0,0,0,0,1,bus_stop
200,5,1,4,0,0,0,2,bicycle_parking
201,6,1,5,0,0,0,2,bicycle_parking
202,5,0,5,0,0,0,1,bicycle_parking
203,10,0,10,0,0,0,1,bicycle_parking
204,5,2,3,0,0,0,2,bicycle_parking
205,10,2,4,0,4,0,3,bicycle_parking
206,5,2,3,0,0,0,2,bicycle_parking
207,10,5,2,1,2,0,4,bus_stop
208,5,5,0,0,0,0,1,bus_stop
209,5,3,0,1,1,0,3,bus_stop
210,5,4,1,0,0,0,2,bus_stop
211,4,4,0,0,0,0,1,bus_stop
212,6,5,0,1,0,0,2,bus_stop
213,5,3,0,2,0,0,2,bus_stop
